Title of Work,Title of Work (AI check),Author Full Name,Author Full Name (AI Check),"Authorship Type (single, co-author, etc.)",Birth-Death Years of Author(s)/Creator(s),Canonical/Scholarly Translation (Best Overall),Best Public Domain Translation,Complementary/Poetic/Alternative Translation,Top 3 Scholarly Translations (Consolidated),Editor(s)/Compiler(s),Edition Integrity,Peer Review/Canonical Status,Year of Original Publication (canonical),Year of Original Publication (AI check),Language of Origin (AI suggestion),Language of Origin (Linked),Language of This Edition/Publication,Summary Abstract,Cultural Origin (Civilizational root),Tradition / Lineage (Canon-level streams),Geographic Context (Place of composition/use),Historical Era,Publisher/Imprint,Place of Publication,Medium of Expression,Form/Genre,Primary Domain,Primary Subdomain(s),Subdomain Confidence,Other Primary Domains,Other Subdomains,Scale/Level Focus,ITQ Emphasis (where the work speaks from),ITQ Deficit Treated (what the work helps strengthen),ITQ Practice (what it invites the reader to do),SD Digestible For (best audience fit now),SD Bridge Move,SD Contraindication (allergic reaction),Kegan Order Best-Fit,Kegan Likely Move,SDT Needs Targeted,SDT Guidance Style,Author Positionality (Self-description/stance),Diaspora / Transcultural Status,Epistemic Mode(s)/Ways of Knowing,Evidence Base,Rigor/Evidence Strength,Ontological Stance,Cosmology,Ethical Orientation,Political-Economy Lens,Themes/Concepts,Key Words,Core Challenges Addressed,Key Questions,Proposed Orientations,Archetypes/Motfis,Metaphors/Imagery,Predecessors/Sources,Successors/Influenced Works,Dialogues/Contradictions,Opposing Work(s),Sibling/Parallel Works,Related Movements/Schools,Practice Modalities,Application Domains,Coaching & Therapeutic Use Cases,Cautions/Contraindications,More-than-Human Orientation,Intended Audience,Difficulty/Density,Tone/Style,Cultural Accessibility Notes,Length,Illustrations/Diagrams,Models/Frameworks,Media Type,File Type,Primary Links,Availability,Identifiers,Rights/License,Copyright Holder,Copyright Expiration,Jurisdiction,Source Provenance,Source Link (AI),Node ID,Embedding Vector ID(s),Entities Extracted,Coverage Map,Granularity Prepared,Auto-Tag Confidence,Curator(s),Curation Date,Validation Status,Evidence Claims/Audit,Key Quotations,Languages copy,Row #,Editions
Push,,Chalene Johnson,,,,,,,,,,,2011,2011,English,English,,"Push presents a structured 30-day program in which Chalene Johnson leads readers through daily exercises to clarify priorities, set goals, and build sustainable habits. Central to the method is the identification of a single “Push Goal” that catalyzes progress on multiple related goals, which is then broken down into actionable steps. The plan integrates fitness and nutrition guidance with practical productivity tools such as to-do systems, tracking, and accountability.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics""","Americas - North,Global / Transcultural",,,Unknown,Other,Other,Personal Development & Well-Being,"Self-cultivation & Habits,""Purpose, Vocation & Calling""",,"""Consciousness, Mind & Psychology"",""Health, Healing & Somatics""",,Intrapersonal/Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,341,
Wind God and Thunder God,,Tawaraya Sōtatsu,,,,,,,,,,,1630,,Japanese,Japanese,,"Wind God and Thunder God (Fūjin Raijin-zu) is a pair of folding screens by Tawaraya Sōtatsu from the early Edo period (early 17th century). Executed in ink and color on gold-leaf paper, they depict the Shinto deities Fūjin (wind) and Raijin (thunder) against a gold ground. The work is associated with the Rinpa school and inspired later versions by artists including Ogata Kōrin and Sakai Hōitsu.",,,"""East Asia – China, Japan, Korea, Mongolia""",,,Unknown,"Painting, Visual Art",Other,,,,,,"""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,N/A (Visual art),342,
Panarchy: Understanding Transformations in Human and Natural Systems (Final Edition),,Buzz Holling,,,,,,,,,,,2002,2002,English,English,,"The book develops the concept of panarchy, explaining how complex human, natural, and coupled systems are structured as nested adaptive cycles of growth, accumulation, release, and renewal across scales of space and time. It synthesizes resilience and sustainability theory to identify leverage points and adaptive management strategies for influencing cycles of change. Case studies such as rangelands and the Florida Everglades link theory to practice, illustrating cross-scale dynamics and management challenges in social-ecological systems.",Scientific / Technological Global,"""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Americas - North,Global / Transcultural",,,"Washington, DC, USA",Book,Anthology / Collection,,,,,,"Community/Bioregion,""Societal/Civilizational, Planetary/More-than-Human"",Cosmic/Temporal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,343,
L'anomalie,,Hervé Le Tellier,,,,,,,,,,,2020,2020,French,French,,"Hervé Le Tellier’s 2020 novel L’anomalie centers on an Air France flight from Paris to New York that passes through a violent storm and inexplicably duplicates, with one plane landing in March and an identical counterpart appearing about three months later. U.S. authorities sequester the second aircraft while scientists, intelligence agencies, and religious leaders grapple with the event’s implications, and passengers are forced to meet their own doubles. The narrative follows several travelers—including a contract killer, an architect and his partner, a pop star, and a writer whose manuscript eerily mirrors events—as their diverging lives unfold under global scrutiny.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory"",""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics""","Europe – Western,Americas - North,Global / Transcultural",,,"Paris, France",Book,Novel / Fiction,"Literature, Art & Aesthetics",Literature & Poetry,,"Philosophy & Ethics,""Science, Technology & Cosmology""",,"Intrapersonal/Individual,Interpersonal/Family,""Societal/Civilizational, Planetary/More-than-Human"",Cosmic/Temporal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,French,344,
An Enquiry into the Origin of Honour,,Bernard Mandeville,,,,,,,,,,,1732,,English,English,,"Mandeville’s 1732 treatise, cast as a dialogue, investigates the social origins and political function of honor as an artifice built on pride, shame, and reputation to regulate elites and sustain martial discipline. He distinguishes “male” honor (courage, willingness to fight, dueling) from “female” honor (chastity and sexual reputation) as complementary systems that govern conduct. The work also examines how Christian doctrine can be harnessed by rulers to promote obedience and courage, rendering Christianity “useful in war” despite its ethos of humility and charity.",,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Abrahamic – Judaism, Christianity, Islam""",Europe – Western,,,"London, UK",Book,Dialogue ,Philosophy & Ethics,Moral & Political Philosophy,,"""Society, Politics, Law & Economics"",""Religion, Spirituality & Myth""",,"""Societal/Civilizational, Planetary/More-than-Human"",Team/Organization,Interpersonal/Family,Intrapersonal/Individual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,345,
Magna Moralia,,Aristotle,,,,,,,,,,,-50,,Ancient Greek,Ancient Greek,,"Magna Moralia is a two‑book treatise on ethics traditionally attributed to Aristotle, though its authorship is disputed. It offers a concise account of key Aristotelian themes, including the human good (eudaimonia), moral and intellectual virtues, choice and deliberation, continence and incontinence, justice, and friendship. The work substantially overlaps with and often epitomizes material found in the Nicomachean and Eudemian Ethics.",,"""Greco-Roman / Classical Western – Hellenic philosophy, Roman law, Stoicism, Epicureanism""","Europe – Southern,Middle East – Anatolia,Middle East – Levant,Middle East – Mesopotamia,Europe – Western",,,,Book,Philosophical Treatise ,Philosophy & Ethics,Moral & Political Philosophy,,"Personal Development & Well-Being,""Society, Politics, Law & Economics""",,"Intrapersonal/Individual,Interpersonal/Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek,346,
The Mirror and the Mask: Lacan in Russia,,Viktor Mazin,,,,,,,,,,,0,,English,English,,,,,,,,Unknown,Article,Essay / Manifesto,"Consciousness, Mind & Psychology","Psychotherapy & Counseling Modalities,Depth & Archetypal Psychology",0.90,"""Culture, Language & Anthropology"",""Literature, Art & Aesthetics""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Russian,347,
Brigitta and Other Tales,,Adalbert Stifter,,,,,,,,,,,1844,,German,German,,"Brigitta and Other Tales collects four novellas by Adalbert Stifter—Abdias, Brigitta, The Forest Path, and Limestone. The collection ranges from the cultivation of a barren Hungarian plain in Brigitta to a priest’s life-defining encounter in Limestone, alongside the woodland narrative The Forest Path.",,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Europe – Western,Europe – Eastern",,,"Chester Springs, USA",Book,Anthology / Collection,"Literature, Art & Aesthetics",Literature & Poetry,,"""Family, Love & Relationships"",Personal Development & Well-Being",,"Intrapersonal/Individual,Community/Bioregion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,348,
The Miseducation of Lauryn Hill,,Lauryn Hill,,,,,,,,,,,1998,,English,English,,"The Miseducation of Lauryn Hill is the debut solo studio album by Lauryn Hill, released in 1998 by Ruffhouse and Columbia Records. Blending hip hop, R&B, soul, and reggae, it explores themes of love, heartbreak, identity, motherhood, and faith, and includes the singles “Doo Wop (That Thing),” “Ex-Factor,” and “Everything Is Everything.” The album won five Grammy Awards in 1999, including Album of the Year.",,"""African Diasporic – Vodun, Santería, Candomblé, Rastafari"",""Abrahamic – Judaism, Christianity, Islam""","Americas - North,Americas – Caribbean,Global / Transcultural",,,"Tokyo, Japan",Musical Composition,Poetry / Epic ,"Literature, Art & Aesthetics","""Music, Sound & Performance""",,"""Culture, Language & Anthropology"",""Society, Politics, Law & Economics""",,"Intrapersonal/Individual,Interpersonal/Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,349,
Chunqiu Fanlu (Luxuriant Dew of the Spring and Autumn Annals),,Dong Zhongshu,,,,,,,,,,,0,,Literary Chinese,Literary Chinese,,"Chunqiu Fanlu (Luxuriant Dew of the Spring and Autumn Annals), traditionally attributed to the Western Han thinker Dong Zhongshu, is a collection of Gongyang-style essays interpreting the Spring and Autumn Annals. It integrates yin–yang and Five Phases correlative cosmology with the doctrine of Heaven–human resonance to explain portents and link cosmic order to moral governance, ritual, and law. The work advocates using the Annals as a normative guide for rulership, including adjudication (chunqiu jueyu), and the received text is widely considered composite with layers from different periods.",,"""Sinic – Confucianism, Daoism, Chinese Buddhism, Neo-Confucianism""","""East Asia – China, Japan, Korea, Mongolia""",,,Unknown,Book,Commentary / Exegesis,Philosophy & Ethics,"Moral & Political Philosophy,Comparative & World Philosophies",,"""Society, Politics, Law & Economics"",""Religion, Spirituality & Myth""",,"""Societal/Civilizational, Planetary/More-than-Human"",Cosmic/Temporal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Classical Chinese,350,
"Ageless Soul: The Lifelong Journey Toward Meaning and Joy (or ""Meaning and Purpose"")",,Thomas Moore,,,,,,,,,,,2017,,English,English,,"Thomas Moore presents aging as a lifelong spiritual and psychological journey, drawing on mythology, depth psychology, and clinical and monastic experience to explore how later life can deepen meaning and purpose. He addresses themes such as identity shifts, relationships and community, creativity and vocation, loss and illness, and mortality, and their effects on the soul. The book outlines practices—reflection, ritual, storytelling, and service—to help integrate the wisdom of aging into daily life.",,"""Mystical / Esoteric – Hermeticism, Gnosticism, Kabbalah, Sufism, Alchemy, Western Esotericism"",""Greco-Roman / Classical Western – Hellenic philosophy, Roman law, Stoicism, Epicureanism"",""Abrahamic – Judaism, Christianity, Islam"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Americas - North,Europe – Western,Global / Transcultural",,,"New York, USA",Book,Essay / Manifesto,,,,,,"Intrapersonal/Individual,Interpersonal/Family,Community/Bioregion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,351,
Tahitian Political Systems: Traditional and Modern Governance Networks,,Bruno Saura,,,,,,,,,,,0,,English,English,,"I couldn’t locate a verifiable source for a 2021 work by Bruno Saura titled “Tahitian Political Systems: Traditional and Modern Governance Networks.” Without confirming the text, I can’t produce a factual abstract without risking inaccuracies.",,"""Indigenous Australian / Pacific – Aboriginal Dreaming, Polynesian, Maori, Hawaiian, Micronesian, Melanesian"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","""Oceania – Australia, New Zealand, Polynesia, Micronesia, Melanesia""",,,Unknown,Book,Scientific Work ,,,,,,"Community/Bioregion,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,French/Tahitian,352,
My Brilliant Career,,Miles Franklin,,,,,,,,,,,1901,,English,English,,"My Brilliant Career (1901) by Miles Franklin is a first-person coming-of-age novel about Sybylla Melvyn, a teenager in rural New South Wales in the 1890s. Moving among her family’s farm at Possum Gully, her relatives’ property at Caddagat, and a governess post with the McSwats, she navigates poverty and social expectations while courted by neighbor Harold Beecham. Sybylla ultimately declines marriage to pursue independence and a literary career.",,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory""","""Oceania – Australia, New Zealand, Polynesia, Micronesia, Melanesia""",,,"Edinburgh, UK",Book,Novel / Fiction,,,,,,"Intrapersonal/Individual,Interpersonal/Family,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,353,
Living Untethered: Beyond the Human Predicament,,Michael A. Singer,,,,,,,,,,,2022,,English,English,,"Michael A. Singer outlines a method for moving beyond the “human predicament” by distinguishing the observing awareness from the mind’s thoughts and emotions. The book explains how to relax, accept, and release inner disturbances and conditioned patterns that drive reactivity. It presents practical guidance on surrender and sustained equanimity to live untethered from the personal narrative.",,"""Indic – Hinduism, Vedānta, Upanishadic, Vedic, Buddhism, Jainism, Sikhism, Yoga""","Americas - North,""South Asia – India, Nepal, Sri Lanka, Pakistan, Bangladesh"",Global / Transcultural",,,"Oakland, USA",Book,Philosophical Treatise ,"Consciousness, Mind & Psychology","Transpersonal & Altered States,Positive Psychology & Human Potential",0.86,"""Religion, Spirituality & Myth"",Personal Development & Well-Being",,Intrapersonal/Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,354,
Sickness unto Death,,Søren Kierkegaard,,,,,,,,,,,1849,,Danish,Danish,,"The Sickness Unto Death (1849), published under the pseudonym Anti-Climacus by Søren Kierkegaard, examines despair as the “sickness unto death” within a Christian framework of selfhood. It defines the self as a relation that relates itself to itself and to the power that established it (God), framing despair as a misrelation of the self. The book distinguishes forms of despair—unconscious despair, despair of not wanting to be oneself, and despair of wanting to be oneself—and identifies despair as sin. It presents faith, in which the self rests transparently in God, as the remedy.",,"""Abrahamic – Judaism, Christianity, Islam""","Europe – Northern,Europe – Western,Americas - North,Global / Transcultural",,,"Copenhagen, Denmark",Book,Philosophical Treatise ,"Religion, Spirituality & Myth",World Religions & Theologies,,"Philosophy & Ethics,""Consciousness, Mind & Psychology""",,"Intrapersonal/Individual,""Societal/Civilizational, Planetary/More-than-Human""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Philosophical Treatise,355,
"Shōji Jissōgi (The Meaning of Sound, Sign, and Reality)",,Kukai (Kobo Daishi),,,,,,,,,,,818,,Literary Chinese,Literary Chinese,,"Shōji Jissōgi (The Meaning of Sound, Sign, and Reality) is a doctrinal essay by Kūkai (Kōbō Daishi) that formulates the esoteric Buddhist teaching of the non-duality of sound, letters/words, and reality. It maintains that phonetic sounds and written characters are direct manifestations of the Dharmakāya (Mahāvairocana), rendering language and cosmos coextensive. On this basis, the work explains the efficacy of mantra, mudra, and mandala, grounding Shingon ritual in a theory of language-as-reality.",,"""Japanese / Korean – Shinto, Zen, Neo-Confucian Korean lineages"",""Indic – Hinduism, Vedānta, Upanishadic, Vedic, Buddhism, Jainism, Sikhism, Yoga"",""Sinic – Confucianism, Daoism, Chinese Buddhism, Neo-Confucianism""","""East Asia – China, Japan, Korea, Mongolia""",,,Unknown,Book,Philosophical Treatise ,"Religion, Spirituality & Myth","Mysticism & Esotericism,World Religions & Theologies",,"Philosophy & Ethics,""Culture, Language & Anthropology""",,"Intrapersonal/Individual,Cosmic/Temporal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Classical Japanese,356,
